City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Isabela,PH,6.7085,121.9711,76.91,83,100,1.3,overcast clouds
265,Olafsvik,IS,64.8945,-23.7142,39.33,83,73,17.85,light rain
266,Calama,CL,-22.4667,-68.9333,73.89,40,20,28.77,few clouds
267,Yining,CN,29.0361,114.5636,39.15,85,100,2.06,overcast clouds
268,East London,ZA,-33.0153,27.9116,73.17,80,75,5.28,broken clouds
269,Constitucion,CL,-35.3333,-72.4167,74.14,47,7,18.77,clear sky
270,Formiga,BR,-20.4644,-45.4264,76.68,74,100,4.79,overcast clouds
271,Mount Isa,AU,-20.7333,139.5,74.97,73,100,8.05,overcast clouds
272,Banepa,NP,27.6298,85.5214,50.13,81,20,4.61,few clouds
273,Buraydah,SA,26.326,43.975,57.65,37,0,9.28,clear sky
274,Szczytno,PL,53.5626,20.9875,31.93,93,40,8.05,scattered clouds
275,Haines Junction,CA,60.7522,-137.5108,5.2,96,100,1.23,overcast clouds
276,Trairi,BR,-3.2778,-39.2689,84.13,66,56,10.45,broken clouds
277,Nha Trang,VN,12.25,109.1833,77.0,92,100,5.77,overcast clouds
278,Marrakesh,MA,31.6315,-8.0083,59.07,31,20,11.5,few clouds
279,Boa Vista,BR,2.8197,-60.6733,91.38,46,75,16.11,broken clouds
280,Abu Dhabi,AE,24.4667,54.3667,71.71,74,0,8.05,clear sky
281,Anadyr,RU,64.75,177.4833,10.08,91,100,5.17,overcast clouds
282,Lesozavodsk,RU,45.4794,133.4244,-13.43,100,46,5.88,scattered clouds
283,Dillon,US,34.4166,-79.3712,46.26,92,100,3.31,overcast clouds
284,Kozhva,RU,65.1073,57.0459,21.79,95,100,8.46,light snow
285,Mana,GF,5.6592,-53.7767,78.64,82,100,8.63,overcast clouds
286,Heze,CN,35.2431,115.4411,30.27,40,1,7.05,clear sky
287,Kaitangata,NZ,-46.2817,169.8464,64.0,80,81,5.46,broken clouds
288,Coffs Harbour,AU,-30.3,153.1333,75.16,83,6,12.66,clear sky
289,Okhotsk,RU,59.3833,143.3,-6.95,91,86,10.58,overcast clouds
290,Aksu,CN,41.1231,80.2644,17.87,86,100,5.01,overcast clouds
291,Leiyang,CN,26.4024,112.8591,40.46,77,100,4.25,overcast clouds
292,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.36,68,52,10.8,broken clouds
293,Vestmannaeyjar,IS,63.4427,-20.2734,37.22,75,100,40.33,overcast clouds
294,Brainerd,US,46.358,-94.2008,1.06,46,0,14.97,clear sky
295,Ikungi,TZ,-5.1333,34.7667,61.0,97,100,3.58,heavy intensity rain
296,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,81,100,15.5,overcast clouds
297,Solton,RU,52.8429,86.4787,-2.61,100,86,2.95,overcast clouds
298,Tanete,ID,-3.9443,119.7848,73.4,97,100,4.09,overcast clouds
299,Foix,FR,42.8333,1.5833,34.99,70,0,5.86,clear sky
300,Abashiri,JP,44.0213,144.2697,11.39,93,100,7.74,light snow
301,Kabanjahe,ID,3.1001,98.4908,63.12,95,97,2.8,light rain
302,Palmer,US,42.1584,-72.3287,38.62,36,20,16.11,few clouds
303,Lasa,IT,46.6166,10.7002,32.88,96,84,8.21,light snow
304,Saint George,US,37.1041,-113.5841,46.44,34,0,1.01,clear sky
305,Adrar,MR,20.5022,-10.0711,65.73,13,3,12.08,clear sky
306,Shingu,JP,33.7333,135.9833,35.96,69,77,5.55,broken clouds
307,Chaoyang,CN,41.5703,120.4586,19.51,35,100,2.17,overcast clouds
308,Wilmington,US,34.2257,-77.9447,40.91,90,100,5.01,mist
309,Korla,CN,41.7597,86.1469,23.23,69,11,4.59,few clouds
310,Jiangyou,CN,31.7667,104.7167,45.54,82,67,3.02,broken clouds
311,Collie,AU,-33.3667,116.15,58.77,85,0,10.87,clear sky
312,San Policarpo,PH,12.1791,125.5072,79.27,84,10,15.37,clear sky
313,Acapulco,MX,16.8634,-99.8901,85.82,54,0,9.22,clear sky
314,Kayerkan,RU,69.3497,87.7602,12.52,92,100,7.49,light snow
315,Mildura,AU,-34.2,142.15,54.07,78,55,15.84,broken clouds
316,Nuuk,GL,64.1835,-51.7216,9.21,72,75,12.66,broken clouds
317,Antofagasta,CL,-23.65,-70.4,76.28,74,12,9.57,few clouds
318,Huanren,CN,41.2647,125.3667,9.1,84,100,2.04,overcast clouds
319,Saldanha,ZA,-33.0117,17.9442,63.41,82,0,20.78,clear sky
320,Qena,EG,26.1615,32.7183,56.26,30,0,7.78,clear sky
321,Kumylzhenskaya,RU,49.8809,42.5898,32.99,97,100,3.78,overcast clouds
322,Port-Cartier,CA,50.0334,-66.8654,17.74,81,100,11.7,overcast clouds
323,Cumaral,CO,4.2708,-73.4867,91.65,27,15,6.67,few clouds
324,Biskamzha,RU,53.4497,89.5272,-0.02,94,5,3.87,clear sky
325,Samarai,PG,-10.6167,150.6667,81.27,80,98,6.6,moderate rain
326,Ramsey,US,45.0333,-93.0835,11.93,44,0,19.57,clear sky
327,Shemgang,BT,27.2169,90.6579,42.85,67,0,5.68,clear sky
328,Kamaishi,JP,39.2667,141.8833,26.62,63,40,7.47,scattered clouds
329,Yarada,IN,17.65,83.2667,74.39,70,6,6.64,clear sky
330,Lanigan,CA,51.8501,-105.0344,-18.98,90,89,3.38,overcast clouds
331,San Ramon,US,37.7799,-121.978,52.68,72,0,3.44,clear sky
332,Henties Bay,NA,-22.116,14.2845,64.67,86,58,7.0,broken clouds
333,Kulhudhuffushi,MV,6.6221,73.07,80.17,75,100,10.0,overcast clouds
334,Dubbo,AU,-32.25,148.6167,59.13,77,0,16.11,clear sky
335,Erenhot,CN,43.6475,111.9767,15.12,31,100,4.18,overcast clouds
336,Leningradskiy,RU,69.3833,178.4167,-15.03,100,100,6.91,overcast clouds
337,Kupang,ID,-10.1667,123.5833,77.11,93,100,12.35,light rain
338,Markova,UA,48.6758,24.4138,32.49,88,100,9.4,light snow
339,Senador Guiomard,BR,-10.1522,-67.7392,83.95,96,100,5.37,overcast clouds
340,Urusha,RU,54.05,122.9,-24.77,97,74,3.0,broken clouds
341,El Tigre,VE,8.8875,-64.2454,89.22,33,21,8.39,few clouds
342,Vao,NC,-22.6667,167.4833,79.65,80,69,9.89,broken clouds
343,Konya,TR,38.1667,32.5,26.08,69,4,6.78,clear sky
344,Vardo,NO,70.3705,31.1107,24.78,80,40,6.91,light snow
345,Bafq,IR,31.6128,55.4107,53.91,68,11,10.13,light rain
346,Geraldton,AU,-28.7667,114.6,79.21,38,0,5.75,clear sky
347,Taltal,CL,-25.4,-70.4833,73.44,71,25,7.27,scattered clouds
