CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Phalaborwa,ZA,78.08,broken clouds,-23.943,31.1411,Hans Merensky Hotel & Estate
178,Pisco,PE,82.45,clear sky,-13.7,-76.2167,La Portada
180,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,The Adventures Inn
182,Sosua,DO,85.98,scattered clouds,19.7667,-70.5167,Casa Marina Beach & Reef
183,Lorengau,PG,79.63,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
186,Tabou,CI,80.64,clear sky,4.423,-7.3528,hôtel le rochet
188,Bengkulu,ID,75.94,moderate rain,-3.8004,102.2655,Dena Hotel
189,La Asuncion,VE,79.32,clear sky,11.0333,-63.8628,Hotel La Ciudad
192,Kralendijk,BQ,82.38,broken clouds,12.15,-68.2667,Hotel Bonaire Inn
193,Arraial Do Cabo,BR,85.86,scattered clouds,-22.9661,-42.0278,No hotel found
196,Mogadishu,SO,76.37,scattered clouds,2.0371,45.3438,SYL Hotel
203,Grand Gaube,MU,79.38,light rain,-20.0064,57.6608,Coco Villa
204,Alugan,PH,78.75,few clouds,12.2188,125.4808,No hotel found
216,Hambantota,LK,75.54,thunderstorm,6.1241,81.1185,Oasis Aurweda Resort Hambathota
220,Palembang,ID,78.89,mist,-2.9167,104.7458,OYO 183 The Pipe House
222,Bahia Honda,CU,83.32,clear sky,22.9036,-83.1592,No hotel found
224,San Felipe,VE,84.2,scattered clouds,10.3399,-68.7425,No hotel found
229,Sulangan,PH,79.11,clear sky,11.1373,123.7228,Marion's Inn
239,Acarau,BR,83.82,overcast clouds,-2.8856,-40.12,No hotel found
242,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Oa Oa Lodge
249,Touros,BR,84.07,few clouds,-5.1989,-35.4608,Pousada Atlântico
